OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
192,530 E Martin St,Special,SP-10,1,Undeveloped,1.06456223,530 E Martin St,27601,NA,No,181,,46370.67786,1074.521331
193,3800 Rock Quarry Road,Neighborhood,N-48,1,Undeveloped,5.01910997,3800 Rock Quarry Rd,27610,NA,No,182,,218631.5851,2077.209616
194,John Winters,Greenway,G-80,1,Developed,1.51969744,528 E Hargett St,27601,NA,No,183,,66197.75269,1170.019267
195,Dupont Circle,Open Space,OS-40,0,Undeveloped,0.05294497,Right of Way,27603,NA,No,197,,2306.28479,227.1754945
196,Lassiter Mill,Greenway,G-104,3,Developed,3.21173396,825 Lassiter Pl,27609,3300 Lassiter Mill Rd,No,198,,139902.5715,2526.425888
197,Walnut Terrace,Special,SP-10,1,Developed,1.71450105,1256 McCauley St,27601,NA,No,104,,74683.15247,1072.225223
198,Municipal Building Green,Mini,N-49,1,Developed,0.39647963,222 W Hargett St,27601,NA,No,199,1971-12-07T00:00:00.000Z,17270.53308,587.9129423
199,Mount Herman,Special,SP-31,2,Undeveloped,48.65786142,6205 Mt Herman Rd,27617,6121 Mt Herman Rd,No,202,,2119536.355,6523.401082
200,Exchange Plaza,Special,SP-49,0,Developed,0.20441239,1 Exchange Plaza,27601,NA,No,200,,8904.142456,503.9190207
201,Market Plaza,Special,SP-50,0,Developed,0.21127179,1 Market Plaza,27601,NA,No,201,,9202.931519,507.2767455
205,Poole Road Canoe Launch,Greenway,G-507,2,Developed,7.157036841,6501 Poole Rd,27610,NA,No,203,1972-01-01T00:00:00.000Z,311759.5532,2350.150649
